config,arch,mode,mu,vol_type,pooled_rmse,pooled_mae,pooled_rmse_spread,pooled_rmse_otm,pooled_rmse_atm,pooled_rmse_itm,pooled_rmse_wing,mean_fold_rmse,std_fold_rmse,worst_rmse,worst_fold,e_star_mean,e_star_std,arb_butterfly%,arb_calendar%,n_folds,n_test_total
BS_A1,BS,—,,—,8.794999393170615,5.857061504799077,,,,,,6.954524481349512,4.150141173601732,,—,,,,,9,43984
GAM_A2,GAM,residual,,—,9.3048,6.386,42.7463,9.4575,9.2721,8.9207,9.31268375504515,7.2621,4.7225,14.9653,Sep2020,,,,,9,43984
LAGP_A3,laGP,residual,,—,11.3047,7.5751,58.4999,11.4263,11.1134,11.1488,11.350473708655851,8.8109,5.615,17.1839,Sep2020,,,,,9,43984
B0_standard_physics,standard,physics,,—,9.031506626714004,5.962579898549757,35.562182340330715,9.22550724559373,8.863819117662324,8.65395344226942,9.071608633152255,7.073109407158595,4.402049429073042,15.353218214515312,Sep2020,8833.333333333334,2094.967514996089,3.68,0.26,9,43984
B1_standard_hybrid,standard,hybrid,,—,8.697619572947897,6.042503193188859,43.666655367593464,8.91183290004912,8.560424625553507,8.234685849419188,8.730486440998067,6.9494075076402355,4.022875436714293,13.808083932596876,Sep2020,2222.222222222222,1887.2541946070032,6.56,0.57,9,43984
B2_modified_physics_mu0.5,modified,physics,0.5,—,9.01304075345897,5.9279584666085965,35.14524554439956,9.19365209550857,8.8411268469813,8.676662660207269,9.054140811498582,7.0546660328644055,4.400569431521786,15.267187515071095,Sep2020,12166.666666666666,1201.850425154663,16.34,0.27,9,43984
B3_modified_physics_mu0.75,modified,physics,0.75,—,9.023841992856301,5.931667845480743,35.35913466729339,9.199221982427806,8.884801015650936,8.672570827214757,9.057158553933133,7.045890311798175,4.422534263315686,15.424567070011408,Sep2020,14388.888888888889,842.5417160057278,24.71,0.41,9,43984
B4_modified_physics_mu1.0,modified,physics,1.0,—,8.764614376614125,5.866156374423796,36.72037652740612,8.901284483273582,8.734764772010504,8.42196350855903,8.771820577142945,6.874692699151063,4.234578233970384,14.674215917613113,Sep2020,15000.0,0.0,37.97,21.38,9,43984
B5_modified_hybrid_mu0.5,modified,hybrid,0.5,—,9.97202865270038,6.652901736551217,45.48107947203757,10.275405968521742,9.991203167393765,9.10801706511049,9.96738415637754,7.953378063881847,4.554125060792695,17.436017853790606,Sep2020,5500.0,2472.066162365221,16.59,26.08,9,43984
B6_modified_hybrid_mu0.75,modified,hybrid,0.75,—,10.001905813773405,6.238689490603117,37.108411750866956,10.402494055996385,9.814927219625137,9.044443197054314,10.046618139352056,7.8998916324230875,4.666117035557014,18.215750089645155,Sep2020,7166.666666666667,3341.65627596057,30.44,40.8,9,43984
B7_modified_hybrid_mu1.0,modified,hybrid,1.0,—,10.700152819885918,6.632887767071549,39.43521447151893,11.09841868433935,10.147355058459741,10.088942991970946,10.829650308982568,8.565177306571908,4.851183602872336,18.855553909158747,Sep2020,6777.777777777777,2439.3887111222384,43.26,47.52,9,43984
B8_modified_hybrid_mu0.0,modified,hybrid,0.0,—,9.108043748789433,6.2922433219679315,45.16928026930792,9.485538344508162,8.909815117710107,8.224288508395409,9.155355492947452,7.2351262620767836,4.2306370558311555,15.946170108879748,Sep2020,3111.1111111111113,1852.5924445036742,9.95,9.94,9,43984
B9_modified_hybrid_mu0.75_fixdata1000.0,modified,hybrid,0.75,—,9.70754744597178,6.525013479244583,49.47869637699061,10.2205502875432,9.49081012697889,8.42688077717009,9.759258288213873,7.657885071661387,4.566831134461002,17.093767958021207,Sep2020,5722.222222222223,1547.598697464902,27.77,25.83,9,43984
B10_modified_hybrid_mu0.75_warmup5000,modified,hybrid,0.75,—,8.486950785417903,5.811855966978049,42.75965480005069,8.476291917394605,8.827985878912152,8.204836416143449,8.402366812794794,6.75081836471105,3.9347699853226494,14.482200177921767,Sep2020,6166.666666666667,2472.066162365221,32.01,18.96,9,43984
B11_modified_hybrid_mu0.5_warmup5000,modified,hybrid,0.5,—,8.777459995366812,6.035517709564842,45.1267829727494,8.874404039201716,8.799315739687128,8.497503841807532,8.77216437190464,7.023674698146716,3.9797594459538805,15.33542075381659,Sep2020,6222.222222222223,3528.5432240445375,23.5,6.84,9,43984
B12_modified_hybrid_mu0.25_warmup5000,modified,hybrid,0.25,—,8.74612068526528,5.992780122725735,41.9551626931618,8.911343829976637,8.479910678283224,8.535259793208755,8.8093152758993,7.002783002815308,4.046585882352871,13.964679094877939,Sep2020,4666.666666666667,3265.986323710904,21.2,1.67,9,43984
S2_B10_cvol,modified,hybrid,0.75,cvol,8.85115361830364,5.774212406695474,36.08794377658818,9.065165933395706,8.792798280777847,8.316623840800004,8.865213334621355,6.850427466592226,4.370883583808235,16.336267752492283,Sep2020,2388.8888888888887,2038.215147538238,20.86,13.37,9,43984
S2_B10_avol,modified,hybrid,0.75,avol,9.89791251289951,6.457864960482789,42.87050591592392,9.98589970895979,10.155343099569759,9.425327663332405,9.834621922018613,7.759375862599323,4.7698778868929725,18.360546085842614,Sep2020,4861.111111111111,3938.9633279284835,13.23,4.84,9,43984
S2_B12_cvol,modified,hybrid,0.25,cvol,8.935298231930338,5.95999931482542,36.92490138119168,9.145698236350146,8.775608153088713,8.504177995378331,8.973503938436162,7.053350315363474,4.260849215389664,14.905670752913007,Sep2020,2222.222222222222,2836.87142926373,13.6,1.04,9,43984
S2_B12_avol,modified,hybrid,0.25,avol,9.411393417317809,6.295746726615076,36.98407923868733,9.553227947132683,9.366562957191048,9.068719302430912,9.4222070129475,7.522385723864265,4.399825679017433,15.743506657873137,Sep2020,2444.4444444444443,3097.440201596979,8.2,0.27,9,43984
